time,p_flow
1057,1818
1058,2388
1059,2782
1060,3034
1061,2835
1062,2993
1063,2334
1064,1799
1065,1689
1066,1261
1067,1024
1068,895
1069,944
1070,866
1071,946
1072,876
1073,867
1074,835
1075,807
1076,744
1077,571
1078,215
1079,31
1080,1
1081,12
1082,33
1083,203
1084,125
1085,311
1086,261
1087,376
1088,460
1089,717
1090,860
1091,1376
1092,1666
1093,1599
1094,1539
1095,1489
1096,982
1097,796
1098,671
1099,571
1100,601
1101,653
1102,524
1103,468
1104,489
1105,435
1106,470
1107,514
1108,499
1109,570
1110,469
1111,522
1112,635
1113,573
1114,658
1115,535
1116,564
1117,554
1118,619
1119,625
1120,579
1121,785
1122,638
1123,705
1124,706
1125,766
1126,809
1127,903
1128,1027
1129,1819
1130,2229
1131,2758
1132,3065
1133,2921
1134,2966
1135,2130
1136,1675
1137,1440
1138,1150
1139,905
1140,821
1141,805
1142,696
1143,654
1144,634
1145,594
1146,543
1147,415
1148,347
1149,289
1150,95
1151,14
1152,0
1153,3
1154,31
1155,142
1156,121
1157,174
1158,231
1159,246
1160,446
1161,609
1162,880
1163,1112
1164,1390
1165,1510
1166,1927
1167,1319
1168,1010
1169,863
1170,698
1171,624
1172,663
1173,644
1174,583
1175,536
1176,484
1177,550
1178,488
1179,542
1180,468
1181,489
1182,620
1183,599
1184,644
1185,599
1186,633
1187,586
1188,592
1189,648
1190,628
1191,574
1192,622
1193,750
1194,637
1195,678
1196,676
1197,742
1198,849
1199,902
1200,1166
1201,1908
1202,2175
1203,2463
1204,2907
1205,2812
1206,2831
1207,2090
1208,1668
1209,1506
1210,1124
1211,874
1212,765
1213,810
1214,756
1215,808
1216,735
1217,661
1218,638
1219,548
1220,362
1221,353
1222,105
1223,15
1224,0
1225,7
1226,26
1227,100
1228,96
1229,187
1230,191
1231,293
1232,441
1233,669
1234,889
1235,1160
1236,1361
1237,1648
1238,1821
1239,1275
1240,1057
1241,780
1242,669
1243,703
1244,657
1245,688
1246,639
1247,528
1248,516
1249,532
1250,495
1251,489
1252,549
1253,520
1254,627
1255,536
1256,665
1257,608
1258,627
1259,613
1260,674
1261,635
1262,640
1263,590
1264,615
1265,782
1266,756
1267,689
1268,705
1269,771
1270,851
1271,962
1272,1236
1273,1866
1274,2192
1275,2440
1276,2961
1277,2749
1278,2859
1279,2037
1280,1673
1281,1569
1282,1163
1283,989
1284,832
1285,926
1286,817
1287,877
1288,775
1289,684
1290,649
1291,544
1292,421
1293,363
1294,114
1295,27
1296,2
1297,13
1298,36
1299,109
1300,94
1301,180
1302,171
1303,294
1304,465
1305,677
1306,897
1307,1101
1308,1434
1309,1652
1310,1839
1311,1153
1312,1140
1313,874
1314,706
1315,629
1316,639
1317,716
1318,653
1319,539
1320,551
1321,496
1322,545
1323,518
1324,511
1325,528
1326,680
1327,556
1328,660
1329,598
1330,584
1331,615
1332,685
1333,651
1334,658
1335,642
1336,621
1337,812
1338,747
1339,705
1340,710
1341,791
1342,906
1343,1017
1344,1235
1345,1924
1346,2195
1347,2493
1348,2904
1349,2706
1350,2938
1351,1903
1352,1803
1353,1508
1354,1250
1355,905
1356,830
1357,913
1358,793
1359,808
1360,703
1361,772
1362,676
1363,622
1364,430
1365,375
1366,138
1367,38
1368,1
1369,11
1370,21
1371,108
1372,117
1373,171
1374,195
1375,307
1376,399
1377,677
1378,942
1379,1179
1380,1495
1381,1514
1382,1567
1383,1400
1384,1046
1385,803
1386,789
1387,706
1388,694
1389,716
1390,589
1391,518
1392,508
1393,557
1394,567
1395,597
1396,514
1397,604
1398,624
1399,612
1400,940
1401,675
1402,1018
